# 06 記憶體 RAM  (報價日期 2026/9/21 14:51)
# price	id	flags	name

## 桌上型記憶體 DDR5 單條
13500	2		｛UMAX 單條32GB DDR5-4800｝/CL40
3990	3		｛UMAX 單條8GB DDR5-5600｝/CL46
7300	4	熱賣	｛UMAX 單條16GB DDR5-5600｝/CL46
14500	5	熱賣	｛UMAX 單條32GB DDR5-5600｝/CL46
4199	6		威剛 單條8GB DDR5-5600/CL46｛AD5U56008G-S｝
5999	7	熱賣	威剛 單條16GB DDR5-4000/CL32｛AD5U400016G-S｝
6999	8		威剛 單條16GB DDR5-4800/CL40｛AD5U480016G-S｝
7999	9		威剛 單條16GB DDR5-5600/CL46｛AD5U560016G-S｝
8199	10		威剛 單條16GB DDR5-5600/CL36 Lance 黑｛AX5U5600C3616G-CLABK｝少量
8199	11		威剛 單條16GB DDR5-5600/CL46 LancerBlade矮 黑｛AX5U5600C4616G-SLABBK｝
8399	12		威剛 單條16GB DDR5-6000/CL48 LancerBlade矮 黑｛AX5U6000C4816G-SLABBK｝
14999	13	熱賣	威剛 單條32GB DDR5-5600/CL46｛AD5U560032G-S｝
7999	14		｛金士頓 單條16GB DDR5-5600｝/CL46
15500	15		｛金士頓 單條32GB DDR5-5600｝/CL46
4990	16		｛金士頓 單條8GB DDR5-5600｝(CL36) FURY Beast (獸獵者)
8300	17		｛金士頓 單條16GB DDR5-5600｝(CL36) FURY Beast (獸獵者)
9300	18		｛金士頓 單條16GB DDR5-6000｝(CL30) FURY Beast Black (獸獵者)
6250	19		｛KLEVV(科賦) 單條16GB DDR5-5600｝/CL46
13999	20		｛美光 Micron Crucial 單條32GB DDR5 5600｝/CL46 (原生顆粒)
9999	21		｛T-CREATE EXPERT 引領者 24G DDR5-6000｝/CL28 黑
9999	22		｛T-CREATE EXPERT 引領者 24G DDR5-6000｝/CL28 白

## 桌上型記憶體 DDR5 雙通道
8200	24		｛UMAX 16GB(雙通8GB*2) DDR5 4800｝/CL40 含散熱片
14500	25		｛UMAX 32GB(雙通16GB*2) DDR5 4800｝/CL40 含散熱片
8200	26		｛UMAX 16GB(雙通8GB*2) DDR5 5600｝/CL46 含散熱片
14500	27		｛UMAX 32GB(雙通16GB*2) DDR5 5600｝/CL46 含散熱片
29999	28		｛UMAX 64GB(雙通32GB*2) DDR5 6000｝/CL30 含散熱片
