# 26 UPS不斷電｜印表機｜掃描  (報價日期 2026/9/18 14:19)
# price	id	flags	name

## CyberPower 碩天科技 不斷電系統UPS【監控軟體須至官網下載】原廠2年保固(含電池)
1190	4		｛CyberPower Ut650g｝/650Va/375w/在線互動式/自動穩壓/(4突波+4備援)插座
1690	5		｛CyberPower Cp650HGa｝/650VA/375W/離線式/USB監控/2年保
3290	6	熱賣	｛CyberPower Cp1000avrlcda｝/1000VA/600W/模擬正弦波/在線互動/LED顯/USB監控
4690	8	熱賣	｛CyberPower Cp1000pfclcda｝/1000VA/600W/正弦波/在線互動/自動穩壓/突波保護
6290	10	熱賣	｛CyberPower Cp1500pfclcda｝/1500VA/1000W/正弦波/在線互動/自動穩壓/突波保護
7390	12	熱賣	｛CyberPower GX150C2M｝/1500VA/1000W/純正弦波/在線互動/自動穩壓/主動式PFC相容式/Rgb

## Eaton 伊頓飛瑞 不斷電系統UPS
1490	16		｛Eaton 5E600LV｝ 600VA/360W 在線互動式/模擬正弦波/內建電壓調節器/直立式/1年保固
2590	17	熱賣	｛Eaton 5E1000LV｝ 1000VA/600W 在線互動式/模擬正弦波/內建電壓調節器/直立式/1年保固
5490	18	熱賣	｛Eaton 5E1650LV｝ 1650VA/1000W 在線互動式/模擬正弦波/直立式/1年保固
1190	20		｛Eaton A-500｝(白色) 500VA/300W/離線式/市電突波保護功能/1年保固
1190	21		｛Eaton A-500｝(黑色) 500VA/300W/離線式/市電突波保護功能/1年保固
2190	22		｛Eaton A-1000｝(白色) 1000VA/600W/離線式/突波、雷擊防護/1年保固
2190	23		｛Eaton A-1000｝(黑色) 1000VA/600W/離線式/突波、雷擊防護/1年保固
6450	24	熱賣	｛Eaton 5SC1000｝ 1000VA/700W/在線互動式/純正弦波輸出/直立式/3年零件保固/2年電池保固
8990	26	熱賣	｛Eaton 5SC1500｝ 1440VA/1080W/在線互動式/純正弦波輸出/直立式/3年零件保固/2年電池保固

## 科風 不斷電系統UPS (一年保固)
1190	30		｛科風 WAR-500A｝在線互動式/500VA/250W/模擬正弦波/直立式/AVR自動穩壓功能
2190	31		｛科風 WAR-1000AP｝在線互動式/1000VA/500W/模擬正弦波/直立式/AVR自動穩壓功能
1590	32		｛科風 BNT-500A｝ 在線互動式/500VA/300W/模擬正弦波/直立式/ABM智慧電池管理
3190	33		｛科風 BNT-1000AP｝在線互動式/1000VA/600W/模擬正弦波/直立式/ABM智慧電池管理
3990	34		｛科風 BNT-1500AP｝在線互動式/1500VA/900W/模擬正弦波/直立式/ABM智慧電池管理
4590	35		｛科風 BNT-2000AP｝ 在線互動式/2000VA/1200W/模擬正弦波/直立式/ABM智慧電池管理

## Apc 施耐德電機 不斷電系統UPS【全美最大UPS】原廠2年保固(含電池)
1349	39		｛Apc Bv500-TW｝/500VA/300W/(備援+突波*6)插座/在線互動式
1549	41		｛Apc Bv650-TW｝/650VA/375W/(備援+突波*6)插座/在線互動式
1999	43		｛Apc Bv800-TW｝/800VA/450W/(備援+突波*6)插座/在線互動式
2389	45		｛Apc Bv1000-TW｝/1000VA/600W/(備援+突波*6)插座/在線互動式

## 連供噴墨 / 點陣式印表機
7600	48		｛EPSON LQ-310｝80行 / 雙介面 / 點陣式印表機
3290	49		｛EPSON L121｝超值入門輕巧款 單功能(列印)連續供墨
4990	51		｛EPSON L3210｝高速三合一(列印 / 影印 / 掃描)連續供墨複合機
5590	53		｛EPSON L3550｝高速三合一 Wi-Fi(列印 / 影印 / 掃描)連續供墨複合機
6990	55		｛EPSON L5590｝高速雙網傳真(WiFi＆有線網路/列印/影印/掃描/傳真)連續供墨印表機
9540	58		｛EPSON L6290｝雙網四合一 Wi-Fi(列印/影印/掃描/傳真)雙面列印 / 連續供墨複合機
