# 15 電源供應器  (報價日期 2026/9/19 15:41)
# price	id	flags	name

## 特價 or 活動專區
4990	2		｛XPG CYBERCORE II 1300W｝雙8/白金/全模組/ATX3.0(PCIe 5.0)/10年保 原價$7490
2790	3		｛XPG CORE REACTOR II VE 750W｝雙8/金牌/全模/ATX3.1(PCIe 5.1)/7年保 原價$3190
3190	5		｛XPG CORE REACTOR II VE 850W｝雙8/金牌/全模/ATX3.1(PCIe 5.1)/7年保 原價$3490
1790	6		｛COUGAR ATLAS 750W｝雙8/銅牌/ATX3.1(PCIe 5.1)/主日系/5年保 原價$2090！
2590	7		｛COUGAR GR 750W｝雙8/金牌/全模組/ATX3.1(PCIe 5.1)/主日系/5年保 原價$2990！
2890	8		｛COUGAR GR 850W｝雙8/金牌/全模組/ATX3.1(PCIe 5.1)/主日系/5年保 原價$3290！
5390	9		｛台達 超實在 1100W｝雙8/白金/全模組/ATX3.0(PCIe 5.0)/10年保 原價$6990！
2490	10		｛Apexgaming GTR-750MW(750W) 白色｝雙8/金牌/全模/ATX3.0(PCIe 5.0)/10年 原價$2790
2790	11		｛Apexgaming GTR-850MW(850W) 白色｝雙8/金牌/全模/ATX3.0(PCIe 5.0)/10年 原價$3090
3390	12		｛Apexgaming GTR Plus-1000M(1000W)｝雙8/白金/全模/ATX3.1(PCIe 5.1)/10年 原價$5590
3590	13		｛Apexgaming GTR Plus-1000MW(1000W) 白色｝白金/全模/ATX3.1(PCIe 5.1)10年 原價$5790

## 特規 SFX SFX-L 電源供應器
5990	17		｛華碩 ROG LOKI 750W｝雙8/白金/ATX3.0(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】
6990	18		｛華碩 ROG LOKI 850W｝雙8/白金/ATX3.0(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】
7490	19		｛華碩 ROG LOKI 850W 白色版｝雙8/白金/ATX3.0(PCIe 5.0)/ARGB/10年保【SFX-L規格】
8490	20		｛華碩 ROG LOKI 1000W｝雙8/白金/ATX3.0(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】
9990	21		｛華碩 ROG LOKI 1200W｝雙8/鈦金/ATX3.1(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】
3590	22		｛Apexgaming KR-750M(750W)｝雙8/白金/全模/ATX3.0(PCIe 5.0)/全日系/10年【SFX】
4490	23		｛Apexgaming KR-850MW(850W) 白色｝雙8/白金/全模/ATX3.0(PCIe 5.0)/10年【SFX】
3290	24		｛全漢 金鋼彈 650W｝雙8/金牌/全模/全日系/DC-DC/10年保固【SFX規格】
3990	25		｛全漢 金鋼彈 750W ATX3.1(PCIe 5.1)｝雙8/金牌/全模/主日系/10年保【SFX規格】
4990	26		｛全漢 金鋼彈 850W ATX3.1(PCIe 5.1)｝雙8/金牌/全模/主日系/10年保【SFX規格】
4590	27		｛全漢 金鋼彈 850W ATX3.0(PCIe 5.0) 白色｝雙8/金牌/全模/主日系/10年保【SFX規格】
7990	28		｛全漢 DAGGER PM 1200W(MIT)｝雙8/白金/全模/ATX3.1(PCIe 5.1)/主日系/10年【SFX-L】
1790	29		｛銀欣 ST30SF 300W｝銅牌/直出線/5年保 (ST30SF.V2.0)【SFX規格】
2190	30		｛銀欣 ST45SF 450W｝銅牌/直出線/5年保 (ST45SF.V3.0)【SFX規格】
2490	31		｛銀欣 Extreme 550Rz(550W) Gold｝雙8/金牌/全模組/主日系/ATX3.1/5年保【SFX規格】
2790	32		｛銀欣 Extreme 650Rz(650W) Gold｝雙8/金牌/全模組/主日系/ATX3.1/5年保【SFX規格】
4690	33		｛酷碼 V SFX GOLD 850W ATX3.1 黑色｝雙8/金牌/全模組(PCIe 5.1)/10年【SFX規格】
4690	34		｛酷碼 V SFX GOLD 850W ATX3.1 白色｝雙8/金牌/全模組(PCIe 5.1)/10年【SFX規格】

## 華碩 ASUS【0800到府收送】
5990	37		｛華碩 ROG LOKI 750W｝雙8/白金/ATX3.0(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】
6990	38		｛華碩 ROG LOKI 850W｝雙8/白金/ATX3.0(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】
7490	39		｛華碩 ROG LOKI 850W 白色版｝雙8/白金/ATX3.0(PCIe 5.0)/ARGB/10年保【SFX-L規格】
8490	40		｛華碩 ROG LOKI 1000W｝雙8/白金/ATX3.0(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】
9990	41		｛華碩 ROG LOKI 1200W｝雙8/鈦金/ATX3.1(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】
2390	42		｛華碩 PRIME 750W 銅牌 白色版｝雙8/直出線/雙滾珠風扇/壓紋線材/6年保
1990	43		｛華碩 TUF GAMING 650W EVO｝銅牌/全模組/ATX3.1/防潮塗層/6年保
2390	44		｛華碩 TUF GAMING 750W EVO｝雙8/銅牌/全模組/ATX3.1/防潮塗層/6年保
2790	45		｛華碩 TUF GAMING 650W Gold EVO｝雙8/金牌/全模組/ATX3.1(PCIe 5.1)/8年保
3090	46		｛華碩 TUF GAMING 750W Gold EVO｝雙8/金牌/全模組/ATX3.1(PCIe 5.1)/8年保
3490	47		｛華碩 TUF GAMING 850W Gold EVO｝雙8/金牌/全模組/ATX3.1(PCIe 5.1)/8年保
3590	48		｛華碩 TUF GAMING 850W Gold EVO 白色版｝雙8/金牌/全模組/ATX3.1(PCIe 5.1)/8年保
4390	49	下殺	｛華碩 TUF GAMING 1000W Gold EVO｝金牌/全模/ATX3.1(PCIe 5.1) 送 ESD-A1A(黑)外接盒▼下殺到 9/30 20:00
4990	50	下殺	｛華碩 TUF GAMING 1200W Gold EVO｝金牌/全模/ATX3.1(PCIe 5.1) 送 ESD-A1A(黑)外接盒▼下殺到 9/30 20:00
4590	51		｛華碩 TUF GAMING 1000W Gold｝雙8/金牌/全模組/ATX3.0(PCIe 5.0)/防潮塗層/10年保
4390	52	下殺	｛華碩 TUF GAMING 850W 白金｝全模組/ATX3.1(PCIe 5.1)/8年 送 ESD-T1A SSD外接盒▼下殺到 9/30 20:00
4990	53	下殺	｛華碩 TUF GAMING 1000W 白金｝全模組/ATX3.1(PCIe 5.1)/8年 送 ESD-T1A SSD外接盒▼下殺到 9/30 20:00
5990	54	下殺	｛華碩 TUF GAMING 1200W 白金｝全模組/ATX3.1(PCIe 5.1)/8年 送 ESD-T1A SSD外接盒▼下殺到 9/30 20:00
6490	55		｛華碩 ROG STRIX 1000W 白金 ROG Equalizer｝全模/ATX3.1(PCIe 5.1)/智慧停轉/10年保
6590	56		｛華碩 ROG STRIX 1000W(白色) 白金 ROG Equalizer｝全模/ATX3.1(PCIe 5.1)/10年保
7490	57		｛華碩 ROG STRIX 1200W 白金 ROG Equalizer｝全模/ATX3.1(PCIe 5.1)/智慧停轉/10年保
10490	59	熱賣	｛華碩 ROG THOR III 1000W｝雙8/白金/全模組/OLED監控/ATX3.1(PCIe 5.1)/10年保
13990	61		｛華碩 ROG THOR III 1200W 白金 ROG Equalizer｝全模/OLED監控/ATX3.1(PCIe 5.1)/10年
14590	62		｛華碩 ROG THOR III 1200W(白色) 白金 ROG Equalizer｝全模/ATX3.1(PCIe 5.1)/10年
23990	63		｛華碩 ROG THOR III EVO 1600W｝鈦金/全模/OLED/ATX3.1(雙PCie 5.1/Equalizer線)10年
19990	64		｛華碩 Pro WS 2200W｝雙8/白金/全模組/ATX3.1(4*PCIe 5.1)/10年保(限220V T型插座)
29990	65		｛華碩 Pro WS 3000W｝雙8/白金/全模組/ATX3.1(4*PCIe 5.1)/10年保(限220V T型插座)

## 海韻 Seasonic
1550	68		｛海韻 S12III-500W｝銅牌/智慧溫控風扇/5年保
1690	69		｛海韻 S12III-550W｝銅牌/智慧溫控風扇/5年保
1850	70		｛海韻 S12III-650W｝銅牌/智慧溫控風扇/5年保
